"t","x","y","v","u","x_cs","y_cs","v_cs"
0.0,0.0005424555667193018,-0.0005425708462615623,-0.00014680140918321027,-1.5929678887272478e-11,-7419.147176079858,-0.00043459922852099247,-0.01929458490635858
0.00023467300331016022,0.0005458982522185718,-0.0005459815668520623,-0.00013114905255461797,-9.227949755631651e-11,8660.75640279186,-0.000532564099295398,-0.004475414840961565
0.0006991999047931264,0.0005610953648643082,-0.000561125258524476,-0.00010961103435233499,-1.3223048901862763e-10,951.8771105317327,-0.0007824442948413563,-0.004007091945306783
0.0012142643573037934,0.0005818789677865802,-0.0005818598597262482,-8.98487023500175e-5,-1.1411661164446782e-10,-6867.60213754712,-0.0014009441978577945,-0.005420716251094688
0.0015832312885054743,0.0005941792896300446,-0.0005941313148354572,-7.245745115720303e-5,-5.534195997524691e-11,549.4151768789542,-0.003969763110491316,-0.012693788407304367
0.0016791158492606496,0.0005959611010996492,-0.0005959065616237535,-6.631725137462014e-5,-1.6571092655681286e-11,-0.05367509537489756,-0.10220447334914869,-0.16273616891235332
0.0019137888525708098,0.0006024256990224322,-0.0006023576357641634,-5.3092335574672636e-5,-8.0710532106372e-11,-0.01117040886603138,-0.020337958478674943,-0.03156044746955755
0.002378315754053776,0.0006296064810100237,-0.0006295184383434554,-3.993723568376995e-5,-9.64286030889228e-11,-0.009171068693030316,-0.016050232374713376,-0.024330493468721813
0.002893380206564443,0.0006647049584307036,-0.0006646002628682212,-2.828402256357355e-5,-6.960353871569605e-11,-0.011546145205926955,-0.01951344079020136,-0.028946866300202774
0.003262347137766124,0.0006847697404744719,-0.0006846574128264676,-1.46989524517086e-5,-2.2660095818312554e-11,-0.025456949139145247,-0.04169289591646152,-0.06062892766854935
0.003358231698521299,0.0006875108511738228,-0.0006873973509209849,-8.871821678381585e-6,-2.4602974541410488e-12,-0.4552684803101509,-0.6600656210217113,-0.8519142732804817
0.0034808983796654185,0.0006901852176298529,-0.0006900711611923154,-6.223097344688865e-7,-5.483152926990425e-12,-0.08257999468998604,-0.11757709550885885,-0.14945932959496558
0.0037457147782593045,0.0007031918886628793,-0.0007030794248082649,1.2387537075861086e-5,1.677134340416204e-11,-0.05496960431383912,-0.07691351803719584,-0.09630550256132159
0.00409927334608212,0.000726910812705432,-0.0007268050272066282,2.6488543906322543e-5,5.6439519840491365e-11,-0.049510232931756507,-0.06810947912562977,-0.08402349299506187
0.004471511213372671,0.000755001146415233,-0.0007549074067042507,4.055967342045829e-5,9.310712637601654e-11,-0.05495050292548287,-0.07436109869043413,-0.09038889499223984
0.004788706424142274,0.0007765405454715382,-0.0007764614578104977,5.507584273186894e-5,1.0347524990030471e-10,-0.07712710148020947,-0.1027025196138639,-0.12302695283635207
0.004988121870294258,0.0007857442510757071,-0.0007856771076679975,6.695062359774308e-5,6.375012012485913e-11,-0.17279334837239657,-0.2265023585542389,-0.26739622175229616
0.0050373475477819485,0.0007868539049743986,-0.000786790111049452,7.055571231387616e-5,1.5098467774984283e-11,-1.294742245536843,-1.3615302938452976,-1.2536144512202694
0.0051318189048994815,0.000789207666600798,-0.0007891508190978393,7.750310881547956e-5,1.0305011324216455e-10,-0.22123183332984395,-0.22886784558047588,-0.20713609949502945
0.005339992549959068,0.0008009372878596687,-0.0008008976872436094,9.067442617198089e-5,2.0990862454653313e-10,-0.13638031404144887,-0.13879319330299206,-0.12344752835081146
0.005629445299127725,0.000823730054868233,-0.000823718629097945,0.00010778272896351267,3.269738722211923e-10,-0.11119401219373658,-0.11131508739138553,-0.09727430062053065
0.005956081873734023,0.0008542865757212751,-0.0008543127485390223,0.00012696903044857947,4.2202728983134647e-10,-0.1077052557890203,-0.10605667127272998,-0.09103125906894143
0.006270171493032815,0.0008834275735394913,-0.0008834960713553517,0.00014692578281748158,4.557192386573443e-10,-0.12217557083002423,-0.11832440421813777,-0.09972110907790908
0.006523903981301919,0.0009035532898665047,-0.0009036609290415744,0.00016475243527889683,3.8502797763799053e-10,-0.1703781019828911,-0.16227354291352789,-0.13423422812317223
0.006678717902991701,0.0009113312710539249,-0.0009114652150472027,0.00017675706268198386,1.9885870047060466e-10,-0.3718861927948473,-0.3482797911687142,-0.28265492448208374
0.006716463397042598,0.0009122965303783069,-0.0009124371971685305,0.00017983534863982075,NaN,NaN,NaN,NaN
